filename,class,xmin,ymin,xmax,ymax,trackId
COCO_val2014_000000109229.jpg,person,109.3,296.03,352.36,587.98,0
COCO_val2014_000000109229.jpg,torso,203.3,352.03,278.3,454.03,0
COCO_val2014_000000109229.jpg,head,215.3,300.03,259.3,359.03,0
COCO_val2014_000000393243.jpg,person,23.01,0.3,479.84999999999997,640.0,0
COCO_val2014_000000393243.jpg,torso,95.01,298.3,478.01,579.3,0
COCO_val2014_000000393243.jpg,head,38.010000000000005,0.3,443.01,434.3,0
COCO_val2014_000000262175.jpg,person,108.68,185.24,442.56,639.72,0
COCO_val2014_000000262175.jpg,torso,162.68,393.24,373.68,638.24,0
COCO_val2014_000000262175.jpg,head,211.68,287.24,305.68,420.24,0
COCO_val2014_000000393372.jpg,person,2.88,77.66,480.0,628.49,0
COCO_val2014_000000393372.jpg,torso,19.88,342.65999999999997,415.88,626.66,0
COCO_val2014_000000393372.jpg,head,170.88,103.66,391.88,459.65999999999997,0
COCO_val2014_000000524459.jpg,person,263.88,110.35,544.0699999999999,419.32000000000005,0
COCO_val2014_000000524459.jpg,torso,371.88,227.35,542.88,417.35,0
COCO_val2014_000000524459.jpg,head,278.88,130.35,417.88,285.35,0
COCO_val2014_000000043720.jpg,person,192.1,21.87,571.55,422.24,0
COCO_val2014_000000043720.jpg,torso,304.1,245.87,528.1,420.87,0
COCO_val2014_000000043720.jpg,head,308.1,31.87,519.1,270.87,0
COCO_val2014_000000000328.jpg,person,44.81,68.09,268.61,425.0,0
COCO_val2014_000000000328.jpg,torso,153.81,107.09,252.81,209.09,0
COCO_val2014_000000000328.jpg,head,166.81,68.09,224.81,154.09,0
COCO_val2014_000000000328.jpg,person,197.91,90.52,403.03999999999996,479.85999999999996,1
COCO_val2014_000000000328.jpg,torso,282.90999999999997,141.51999999999998,401.90999999999997,249.51999999999998,1
COCO_val2014_000000000328.jpg,head,302.90999999999997,95.52,364.90999999999997,175.51999999999998,1
COCO_val2014_000000000328.jpg,person,336.87,58.48,586.78,484.52000000000004,2
COCO_val2014_000000000328.jpg,torso,442.87,160.48,533.87,284.48,2
COCO_val2014_000000000328.jpg,head,435.87,103.47999999999999,499.87,182.48,2
COCO_val2014_000000000428.jpg,person,226.94,32.65,582.86,355.91999999999996,0
COCO_val2014_000000000428.jpg,torso,335.94,205.65,488.94,354.65,0
COCO_val2014_000000000428.jpg,head,344.94,32.65,506.94,230.65,0
COCO_val2014_000000262605.jpg,person,409.37,288.89,638.88,586.8299999999999,0
COCO_val2014_000000262605.jpg,torso,528.37,352.89,620.37,478.89,0
COCO_val2014_000000262605.jpg,head,549.37,292.89,604.37,358.89,0
COCO_val2014_000000000474.jpg,person,3.37,42.7,332.58,471.90999999999997,0
COCO_val2014_000000000474.jpg,torso,178.37,133.7,314.37,248.7,0
COCO_val2014_000000000474.jpg,head,133.37,61.7,208.37,159.7,0
COCO_val2014_000000262642.jpg,person,42.7,142.77,259.55,487.72,0
COCO_val2014_000000262642.jpg,torso,53.7,243.77,194.7,463.77,0
COCO_val2014_000000262642.jpg,head,96.7,149.77,198.7,279.77,0
COCO_val2014_000000393720.jpg,person,132.22,19.69,323.52,538.73,0
COCO_val2014_000000393720.jpg,torso,212.22,115.69,320.22,256.69,0
COCO_val2014_000000393720.jpg,head,170.22,117.69,219.22,187.69,0
COCO_val2014_000000000536.jpg,person,292.86,133.95,448.0,332.22,0
COCO_val2014_000000000536.jpg,torso,326.86,178.95,399.86,252.95,0
COCO_val2014_000000000536.jpg,head,334.86,137.95,374.86,182.95,0
COCO_val2014_000000000536.jpg,person,169.41,79.52,277.83,335.14,1
COCO_val2014_000000000536.jpg,torso,184.41,125.52,246.41,223.51999999999998,1
COCO_val2014_000000000536.jpg,head,209.41,82.52,243.41,139.51999999999998,1
COCO_val2014_000000000536.jpg,person,88.34,68.58,186.5,332.09999999999997,2
COCO_val2014_000000000536.jpg,torso,98.34,134.57999999999998,167.34,252.57999999999998,2
COCO_val2014_000000000536.jpg,head,111.34,75.58,155.34,144.57999999999998,2
COCO_val2014_000000262738.jpg,person,288.64,110.87,438.5,368.04,0
COCO_val2014_000000262738.jpg,torso,305.64,160.87,394.64,258.87,0
COCO_val2014_000000262738.jpg,head,350.64,115.87,389.64,167.87,0
COCO_val2014_000000262738.jpg,person,56.39,32.1,270.46,375.0,1
COCO_val2014_000000262738.jpg,torso,81.39,99.1,193.39,284.1,1
COCO_val2014_000000262738.jpg,head,128.39,41.1,177.39,114.1,1
COCO_val2014_000000000623.jpg,person,162.34,1.3,374.03,492.21000000000004,0
COCO_val2014_000000000623.jpg,torso,190.34,101.3,307.34000000000003,242.3,0
COCO_val2014_000000000623.jpg,head,164.34,7.3,274.34000000000003,171.3,0
COCO_val2014_000000393874.jpg,person,1.44,71.91,418.52,570.97,0
COCO_val2014_000000393874.jpg,torso,5.4399999999999995,177.91,232.44,437.90999999999997,0
COCO_val2014_000000393874.jpg,head,70.44,81.91,180.44,238.91,0
COCO_val2014_000000524979.jpg,person,10.09,154.95,334.40999999999997,640.0,0
COCO_val2014_000000524979.jpg,torso,90.09,272.95,292.09,540.95,0
COCO_val2014_000000524979.jpg,head,116.09,162.95,230.09,292.95,0
COCO_val2014_000000349647.jpg,person,286.57,0.4,640.0,480.0,0
COCO_val2014_000000349647.jpg,torso,441.57,8.4,638.5699999999999,318.4,0
COCO_val2014_000000349647.jpg,head,448.57,0.4,582.5699999999999,93.4,0
COCO_val2014_000000131804.jpg,person,124.07,126.96,267.38,379.90999999999997,0
COCO_val2014_000000131804.jpg,torso,181.07,157.95999999999998,229.07,248.95999999999998,0
COCO_val2014_000000131804.jpg,head,163.07,130.95999999999998,200.07,169.95999999999998,0
COCO_val2014_000000525106.jpg,person,267.38,41.66,418.18,453.41999999999996,0
COCO_val2014_000000525106.jpg,torso,294.38,104.66,374.38,236.66,0
COCO_val2014_000000525106.jpg,head,303.38,61.66,343.38,119.66,0
COCO_val2014_000000525184.jpg,person,1.12,128.09,375.0,494.38,0
COCO_val2014_000000525184.jpg,torso,77.12,211.09,175.12,352.09000000000003,0
COCO_val2014_000000525184.jpg,head,169.12,147.09,324.12,262.09000000000003,0
COCO_val2014_000000000962.jpg,person,25.89,155.33,382.56,638.5600000000001,0
COCO_val2014_000000000962.jpg,torso,48.89,223.33,184.89,362.33000000000004,0
COCO_val2014_000000000962.jpg,head,51.89,155.33,145.89,256.33000000000004,0
COCO_val2014_000000132042.jpg,person,72.07,90.09,368.24,500.0,0
COCO_val2014_000000132042.jpg,torso,186.07,166.09,361.07,329.09000000000003,0
COCO_val2014_000000132042.jpg,head,137.07,105.09,239.07,216.09,0
COCO_val2014_000000000999.jpg,person,0,0,197.73,301.28,0
COCO_val2014_000000000999.jpg,torso,60,0,164,15,0
COCO_val2014_000000000999.jpg,person,254.78,100.43,618.19,298.15,1
COCO_val2014_000000000999.jpg,torso,291.78,102.43,449.78,199.43,1
COCO_val2014_000000000999.jpg,head,257.78,144.43,312.78,200.43,1
COCO_val2014_000000263223.jpg,person,279.2,189.87,440.45,313.56,0
COCO_val2014_000000263223.jpg,torso,313.2,210.87,394.2,259.87,0
COCO_val2014_000000263223.jpg,head,388.2,193.87,416.2,227.87,0
COCO_val2014_000000001089.jpg,person,63.09,75.97,566.5600000000001,573.0,0
COCO_val2014_000000001089.jpg,torso,219.09,254.97,516.09,571.97,0
COCO_val2014_000000001089.jpg,head,217.09,85.97,402.09000000000003,325.97,0
COCO_val2014_000000001146.jpg,person,0,0,312.05,640,0
COCO_val2014_000000001146.jpg,torso,0,205,281,639,0
COCO_val2014_000000001146.jpg,head,46,0,232,229,0
COCO_val2014_000000132219.jpg,person,1.92,0,567.0899999999999,362.71,0
COCO_val2014_000000568205.jpg,person,316.04,1.08,640.0,474.60999999999996,0
